,asin,title,description,category,topic_name,topic_rank,bubble_color,bubble_size
3329,B0002ARQDC,Marshall Ferret Leisure Lodge Frog,The Marshall leisure lodge is anything but the same old <br> accessory. Designed to look like a frog and ...,rabbits and rodents,rabbits and rodents_2,13,0.2362333333333333,3.0
3338,B0002ARVXW,Multipet Duckworth Baby Splash Dog Toy,Plush Baby Duck Yellow w/squeaker for dogs,farm animals,farm animals_5,1,0.87865,4.0
3341,B0002ARTWK,"Harley Davidson Double Ply Spiked Leather Dog Collar, 1.5 x 24 Inches, for Big Dogs",Product Highlight(s):Available from 10 inches to 26 inches.As <br> the size of the Harley Davidson Spiked...,dog,dog_6,4,0.7612187499999999,16.0
3354,B0002ARV1O,Big Buddie Fritz The Frog,"The Happy Pet Wiggly Giggly Ropeball s vinyl dog toy that makes <br> a giggle sound when played with
Dogs...",other,other_4,48,0.7028,2.0
3359,B0002ARWU4,Ethical 4-1/2-Inch Grecian Stoneware Cat Dish,"This 4.5-inch bowl will add a nice touch of class to meal time <br> for your cat. Cleans easily, and is t...",cat,cat_2,9,0.6762166666666666,6.0
3360,B0002ART9S,SuperClean Wardley Advanced Nutrition Perfect Protein Goldfish Food Flakes,Wardley Advanced Nutrition Perfect Protein Goldfish Flakes are <br> scientifically designed to provide th...,fish,fish_4,34,0.4798166666666666,6.0
3365,B0002ARVKU,"Cockatiel Staple Vme Seed, 5-Pound",Hagen cockatiel seed contains only the highest quality seeds <br> blended in a perfect balance for the nu...,bird,bird_1,39,0.6395000000000001,8.0
3372,B0002ARUNI,Flavored Mineral Blocks Orange,The only beak block with vitamins and minerals. Helps keep beaks <br> trim and sharp. The orange and appl...,bird,bird_2,21,0.43955,2.0
3377,B0002ARSBM,Spirulina Discs Fish Food,"Vegetable food for bottom feeders, a perfect diet for <br> herbivorous fish.",fish,fish_1,2,0.3004125,8.0
3382,B0002ARXUI,Bird Toys - Multipettipet TOY BIRDY BUDDY GN LG,Bird Toys by MULTIPET INTERNATIONAL - Get Fast Shipping and Low <br> Prices at PetsWarehouse.com on over ...,bird,bird_1,9,0.70615,2.0
3383,B0002ARWUO,Ethical 8-1/2-Inch Double Grecian Cat Dish,"This 4.5-inch bowl will add a nice touch of class to meal time <br> for your cat. Cleans easily, and is t...",cat,cat_2,24,0.8164,4.0
3411,B0002ARUQA,"Finch Staple Vme Seed, 3-Pound",Hagen finch seed contains only the highest quality seeds blended <br> in a perfect balance for the nutrit...,bird,bird_4,37,0.56096,20.0
3416,B0002ARVKK,"Cockatiel Staple Vme Seed, 2-1/2-Pound",Hagen cockatiel seed contains only the highest quality seeds <br> blended in a perfect balance for the nu...,bird,bird_4,46,0.4320999999999999,6.0
3418,B0002ARX9Y,Wardley 1525 Goldfish Flakes Pet Food,"WARDLEY 1525 Goldfish Flakes Pet Food,,",fish,fish_1,36,0.4779800000000001,5.0
3420,B0002ARYCA,Multi Pet Happy Hut Medium Green,Dog Toy Stuffed_Soft by MULTIPET INTERNATIONAL - Get Fast <br> Shipping and Low Prices at PetsWarehouse.c...,bird,bird_2,48,0.6620444444444443,9.0
3424,B0002AS172,"Ethical Pet Vermont Fleece Dog Toy, 9-Inch, Duck","Soft and cuddly 9"" Vermont natural fleece duck. Plush dog toy <br> with squeaker. Sure to be hit with you...",farm animals,farm animals_6,1,0.8916999999999999,2.0
3439,B0002ARURE,"Oyster Shells, 15.5 Ounces",Hagen Oyster Shells is a natural high calcium source for you to <br> give your bird. Oyster Shells provid...,bird,bird_3,40,0.5292790322580644,62.0
3443,B0002AS1U4,"Ethical Pets Long Ear Tugeeez Dog Toy, 7-Inch",Cool & colorful inspired toys for your playful pooch with ears <br> that slide and rubber teething caps o...,farm animals,farm animals_1,5,-0.3275,2.0
3450,B0002AS1OU,"All Glass Aquarium AAG09008 Tank and Eco Hood Combo, 5.5-Gallon",All Glass Aquarium tank and Eco Hood Combo-The small aquarium <br> combos are economical starter kits. Ea...,fish,fish_1,45,0.2964529411764705,17.0
3478,B0002AS4JW,60319 Mf Ferret Home with Stnd - Part #: 100079123,The Deluxe Multi-Floor Ferret Home is perfect for a family of <br> Ferrets and is safe for Chinchillas to...,rabbits and rodents,rabbits and rodents_2,3,0.93006,5.0
3507,B0002AS55K,Kaytee Natural Corn Hut,Natural Corn Hut Hideout provides a secure hiding spot for small <br> animals. Made from a combination of...,rabbits and rodents,rabbits and rodents_6,5,0.6412333333333333,3.0
3525,B0002AS5OQ,Kaytee CritterTrail Fun-nels 10-Inch Straight Tube - Assorted Colors,Fun-nel Tubes are the ideal way to expand your CritterTrail <br> habitat. Easy to connect and pull apart ...,rabbits and rodents,rabbits and rodents_3,38,0.5292444444444445,9.0
3529,B0002AS5VY,AGA Fluorescent Black Hexagon 20 Gallon Hood,Our most popular Hood is designed to perfectly compliment your <br> All-Glass aquarium. It is custom fit ...,fish,fish_4,46,0.457875,32.0
3546,B0002AS596,Kaytee Guinea Pig Grassy Roll-a-Nest Hideout,Small Roll-a-Nest is an all natural grass hide-out that provides <br> the ideal spot for your pet to play...,rabbits and rodents,rabbits and rodents_1,38,0.5493636363636363,77.0
3559,B0002AS6U4,Aqueon Fluorescent Deluxe Strip Light 36 Inch - Black,Aqueon Strip-Lights are used with Versa-Tops for proper aquarium <br> lighting. These are exact strip-lig...,rabbits and rodents,rabbits and rodents_1,36,0.715175,4.0
3568,B0002AS6T0,"All Glass Aquarium AAG25920 Fluorescent Strip Light, 20-Inch",All-Glass Strip-Lights are used with Versa-Tops for proper <br> aquarium lighting. These are exact strip-...,fish,fish_2,36,0.4028021978021977,91.0
3569,B0002AS61I,"Super Pet CritterTrail Value Pack #1, Fun-nels Small Pack Accessories",Make your critter trail home even more incredible with the <br> vibrantly colored fun-noels you receive i...,rabbits and rodents,rabbits and rodents_4,25,0.9206,2.0
3577,B0002AS6W2,"All Glass Aquarium AAG26220 Fluorescent Strip Light, 20-Inch",All-Glass Strip-Lights are used with Versa-Tops for proper <br> aquarium lighting. These are exact strip-...,other,other_2,24,0.7419333333333333,3.0
3581,B0002AS5QE,Ethical Stonewe Animal Dish,Heavyweight design on this stoneware dog crock eliminates <br> movement and spillage. Sturdy and great fo...,rabbits and rodents,rabbits and rodents_5,29,0.4648538461538461,52.0
3584,B0002AS6WC,"All Glass Aquarium AAG26224 Fluorescent Strip Light, 24-Inch",All-Glass Strip-Lights are used with Versa-Tops for proper <br> aquarium lighting. These are exact strip-...,fish,fish_1,26,0.3866919999999999,25.0
3586,B0002AS5W8,"All Glass Aquarium AAG21603 Fluorescent Deluxe Hood, 35hex",Our most popular Hood is designed to perfectly compliment your <br> All-Glass aquarium. It is custom fit ...,rabbits and rodents,rabbits and rodents_5,37,0.4147096774193547,62.0
3596,B0002AS8PM,Kaytee Run-About 7&quot; Hamster Exercise Ball,Run-about balls provide pets and pet owners with interactive fun <br> during playtime. Sized perfectly fo...,rabbits and rodents,rabbits and rodents_1,39,0.4847418312387798,557.0
3616,B0002AS8ES,Mini Divider,Stress balls,rabbits and rodents,rabbits and rodents_4,22,0.4373,3.0
3617,B0002AS668,Kaytee CritterTrail Fun-nel Look-Out,The CritterTrail Fun-nel Look-Out is a great way to expand your <br> pet's living space and to create the...,rabbits and rodents,rabbits and rodents_5,20,0.7870933333333332,15.0
3630,B0002AS9T2,"Natural Choice Small Breed Adult Chicken, Whole Brown Rice And Oatmeal Formula - 8 Lbs. (3.63 Kg)",  <img src='https://images-na.ssl-i...,dog,dog_3,2,0.6794666666666666,15.0
3633,B0002AS6MC,Bunny Bites - contains 4 each,100079296 Features: -Small animal toy. -4 Packs. -Made in United <br> States. -Package includes four carr...,rabbits and rodents,rabbits and rodents_4,8,0.6069799999999999,5.0
3641,B0002ASAB4,Super Pet Bunny Flip-N-Toss Sisal Rope Toy for Rabbits (Corn),"&quot; It&#039;s totally true, rabbits really love to throw <br> things&#046; Don&#039;t let your rabbit ...",rabbits and rodents,rabbits and rodents_5,7,0.56105,2.0
3643,B0002ASBA4,Kaytee Hammock with Stand,"The Kaytee Guinea Pig Hammock with Stand provides a cozy, secure <br> resting place for guinea pigs or ot...",rabbits and rodents,rabbits and rodents_1,30,0.7932035714285716,28.0
3646,B0002ASAV4,Superpet (Pets International) SSR62104 Ferret Shake and Roll Toy,"Superpet ferret shake, rattle and roll toys are colorful plastic <br> balls with three simply sensational...",rabbits and rodents,rabbits and rodents_1,46,0.19554,5.0
3649,B0002AS8Q6,Kaytee Run-About 7&quot; Hamster Exercise Ball,Run-about balls provide pets and pet owners with interactive fun <br> during playtime. Sized perfectly fo...,rabbits and rodents,rabbits and rodents_6,24,0.4416523809523808,168.0
3651,B0002AS9OM,Kaytee Gravity Bin Feeder with Bracket,Gravity Bin feeders hold up to two pounds of food giving your <br> pets a five day food supply. Gravity B...,rabbits and rodents,rabbits and rodents_5,45,0.390383732057416,209.0
3691,B0002AS8SE,Super Pet Run-About Hamtrac,"Consisting of eight sections of connectable track, the 4' x 2' <br> assembled hamtrac provides a safe and...",rabbits and rodents,rabbits and rodents_5,34,0.5699638888888888,36.0
3705,B0002ASBFE,Super Pet Sleep-E-Sack Ferret Bed,",Sleep-e-sack is an oversized sleeping bag for a variety of <br> small animals.,Size11.5X17.5 INCH,Color,...",rabbits and rodents,rabbits and rodents_3,7,0.904975,4.0
3720,B0002ASDDY,Scott Pet Products Petamine Breeding 2lb,Product Highlight(s):Feed to adult breeding birds during the <br> breeding season. This is the original P...,bird,bird_1,47,0.4901666666666666,3.0
3734,B0002AS9ME,"Kaytee Paw-Print PetWare Bowl, Colors Vary",Paw-print petware is the perfect fancy feeder for your guinea <br> pig. This fun and fashionable bowl is ...,rabbits and rodents,rabbits and rodents_5,26,0.5651373271889399,217.0
3744,B0002ASEKG,"Aquascaper Hairgrass, 8-Inch","Let the Marina Aquascaper Hairgrass Plant add some lush, <br> colorful landscape to your aquarium. Design...",fish,fish_1,31,0.4132714285714285,7.0
3756,B0002ASD6G,Cosmic Pet Cardboard Scratcher with Catnip,Cosmic brand carboard cat scratchers are designed with extra <br> durable long lasting scratch pads. Made...,cat,cat_3,17,0.6109875,8.0
3760,B0002ASFPA,"Marina Aquascaper Ambulia, 20-Inch","Let the Marina Aquascaper Ambulia Plant add some lush, colorful <br> landscape to your aquarium. Design y...",fish,fish_1,10,0.6497200000000001,5.0
3782,B0002ASFXW,Four Paws Professional Mat Removing Dog Grooming Comb,Multiple stainless steel blades quickly and easily eliminates <br> severe mat and tangle problems. Our bl...,dog,dog_6,49,0.5908625000000001,8.0
3791,B0002ASHIA,"Living World Wooden Perch Swing, 5-Inch by 4-Inch",The Living World Perch Swing is a great toy for you to add to <br> your bird's cage. The wooden swing pro...,bird,bird_2,32,0.5113,40.0
3807,B0002ASJWY,"Aquarium Pharmaceuticals RENA Cal Top Light Excel Heater 11.625 inch, 100W",For 15 to 35 gallon aquariums. Illuminated top and side <br> temperature readings. Fully submersible; wat...,rabbits and rodents,rabbits and rodents_5,4,0.7804,2.0
3811,B0002ASL18,"Aquarium Pharmaceuticals RENA Cal Basic Heater 14 inch, 200W",For 40 to 75 gallon aquariums. Computer-calibrated temperature <br> control. Accurately adjusts water tem...,rabbits and rodents,rabbits and rodents_4,23,0.82765,2.0
3815,B0002ASGC2,API pH UP Freshwater Aquarium Water pH Raising Solution,"pH is the measure of acidity of water, on a scale ranging from 0 <br> to 14. A pH of 0 is the most acidic...",fish,fish_4,50,0.2048576086956522,92.0
3826,B0002ASHIK,"Living World Cockatiel Swing with Wooden Perch, 5 1/2-Inch by 7-Inch",The Living World Cockatiel Swing with Perch is a great toy for <br> you to add to your bird's cage. The w...,bird,bird_2,47,0.3603757575757575,33.0
3833,B0002ASMJO,Sun Seed Critter Cubes - 2 lb.,Sun Seed Critter Cubes - 2 lb.,rabbits and rodents,rabbits and rodents_3,46,0.3715,2.0
3836,B0002ASLKO,"Sun Seed Company Bss10351 Vita Mix Daily Diets Small Hookbill Food, 25-Pound","Sun Seed Company BSS10351 Vita Mix Daily Diets Small Hookbill <br> Food, 25-Pound",bird,bird_3,32,0.6545545454545455,11.0
3838,B0002ASD8Y,"Cosmic Pet Catnip Treat, Seafood Gumbo",A highly nuturious cat trat with the extra added attraction of <br> genuine Cosmic Catnip.,cat,cat_1,27,0.6329666666666668,3.0
3851,B0002ASLX6,Sun Seed Company Guinea Pig Pellets 25lb,"An alfalfa based pellet with Vitamin C added&#046; These <br> 20&#037; protein pellets are a complete, ba...",rabbits and rodents,rabbits and rodents_4,21,0.6557000000000001,3.0
3852,B0002ASN1G,"Sun Seed Company SSS18450 50-Pound Corn Cob Small Animal Fine Granule Bedding, 2 Cubic Feet",Sun seed corn cob fine granule bedding provides complete <br> solution for the bedding and litter needs o...,bird,bird_1,5,0.6472,3.0
3853,B0002ASIXE,"Ornabac Bird Supplement, 15Gm","Ornabac 15gm,,",bird,bird_6,48,0.06424,5.0
3881,B0002ASG18,Wood Handle Comb for Long Thick coats,High quality comb designed for comfort and long-term use. This <br> shedding comb helps detangle and remo...,cat,cat_5,40,0.6575,2.0
3887,B0002ASR30,Pink Parrot Beak Tweaker Rainbow Crazy Cluster (Small),"A tight and colorful combination of wood balls, multicolor rope <br> pieces and rawhide. Hangs to 6"".",bird,bird_2,5,0.8786,2.0
3894,B0002ASIXY,"Mardel Vitaflight Food Substitute for Birds, 30-count",VitaFlight 20gm,bird,bird_4,6,0.83165,2.0
3919,B0002ASS0W,"PetAg Bene-Bac Pet Gel, 15 Gram Syringe",Bene-Bac Pet Gel is a concentrated live culture of seven common <br> digestive bacteria found in the inte...,rabbits and rodents,rabbits and rodents_3,31,0.4648536585365851,123.0
3936,B0002ASMBC,Flexible Rainbow Frisbee Dog Toy,Nylabone Flexi Chew Rainbow Frisbee Dog Toy You and your dog <br> will get hours of fun play out of the F...,dog,dog_1,43,0.8253500000000001,6.0
3951,B0002ASMNU,"SUNSEED COMPANY 079622 Aromatic Red Cedar Bedding, 2000 CI","079622 aromatic Red Cedar Bedding , 2000 CI",rabbits and rodents,rabbits and rodents_2,11,0.3155,2.0
3953,B0002ASZ32,D328 Eight In One Vita-Sol Bird Multivitamin 4oz,"Eight In One 5032762 259780 Vita-sol Multi Vitamins For A <br> homogenized, water soluble, multivitamin c...",bird,bird_2,3,0.7442500000000001,4.0
3956,B0002ASU8C,"L/M Animal Farms SLM60451 Corn Cob Small Animal Bedding, 25-Pound",LM-Farms premium corn cob is a 100-percent natural litter and <br> bedding for birds and small animals. F...,bird,bird_2,7,0.50995,2.0
3966,B0002AT0HC,8 in 1 eCOTRiTiON Grains &amp; Greens Variety Blend Bird Food for Cockatiels (6 1/2 oz.),A tasty combination of premier seeds and dried greens. A snack <br> treat that is fun and nutritious. Add...,bird,bird_2,4,0.3760666666666667,3.0
3969,B0002ASY9M,UltraCare Bird Charcoal for All Birds (2.5 oz),UltraCare Bird Charcoal is an excellent aid to digestion that <br> helps maintain the proper PH in birds ...,bird,bird_1,4,0.845575,4.0
3984,B0002ASZGO,8in1 UltraCare Sanded Perch Covers - Large Birds,",8in1 UltraCare Sanded Perch Covers,The 8in1 UltraCare Sanded <br> Perch Cover provides an ideal h...",bird,bird_2,10,0.6839,2.0
3990,B0002AST8I,Nilodor Deodorizing Pet Shampoo,Were you charmed by pepe lepu. You dont have to hold your breath <br> for long. Bathe in our special pate...,cat,cat_2,26,0.48315,4.0
3993,B0002ASBUO,Kaytee Me Travel Carrier,Kaytee Take Me With Travel Carriers are perfect for those times <br> you need or want to transport your p...,rabbits and rodents,rabbits and rodents_5,48,0.4645499999999998,118.0
4025,B0002ASZUK,Ultra-Blend Ferret Diet 2lbs,Ultra Blend Ferret Diet is a complete balanced diet formulated <br> with animal proteins to supply the op...,rabbits and rodents,rabbits and rodents_5,38,0.5845,7.0
4054,B0002ASU7S,"L/M Animal Farms SLM60411 Corn Cob Small Animal Bedding, 40-Pound",LM-Farms premium corn cob is a 100-percent natural litter and <br> bedding for birds and small animals. F...,rabbits and rodents,rabbits and rodents_5,2,0.69855,4.0
4058,B0002AT7GG,"Blue Ribbon Pet Products ABLPLY2 Polyester Floss Bag Filter Media, 2-Ounce","Blue ribbon pet products are manufacturers and importers of fish <br> food, aquarium accessories and supp...",amphibians and reptiles,amphibians and reptiles_0,19,0.2482571428571429,7.0
4064,B0002AT8QU,"Captain Kidd Treasure Aquarium Ornament, Small",Create an authentic seascape environment.    Resin 3 X 3 X 3,fish,fish_2,29,0.6003333333333333,6.0
4070,B0002AT8EM,Exotic Environments Australian Barrier Reef with Clam Aquarium Ornament,Exotic Environments Australian Barrier Reef w/Clam Aquarium <br> Ornament is made with durable poly resin...,fish,fish_2,49,0.3403883720930233,43.0
4128,B0002ATD0Q,"Penn Plax Aerating Action Ornament, Diver with Hose &ndash; Color May Vary &ndash; Small",",Penn Plax Action Air ornaments bring animation, charm, and life <br> to your underwater world while aera...",rabbits and rodents,rabbits and rodents_6,19,0.5433430303030301,165.0
4133,B0002AT95A,845 Chain Lead X-Heavy,Four Paws Products Mustang Chain Lead 4.0mm X-heavy 6 Ft. These <br> rust-proof chains are available in a...,other,other_3,46,0.1043,2.0
4138,B0002ASZ50,8 in 1 Bird Gravel Paper 9.5 X 15,8 in 1 Bird Gravel Paper The 8 in 1 Bird Gravel Paper is a <br> convenient and easy to use sheet for lini...,bird,bird_3,23,0.37786,5.0
4165,B0002AXGOK,Prevue Pet Products Hooded Ceramic Cup Assorted Colors Small 4.2 oz,Holds 4 oz. Assorted colors Prevue Pet Products 4 oz. Hooded <br> Ceramic Cup features a faux marble fini...,bird,bird_3,35,0.6293200000000001,5.0
4172,B0002BICCU,"L'Avian Plus Bean Cuisine, 3 lb Jar",L'Avian Plus Bean Cuisine is a specially formulated bean and <br> pasta mixture that all Hookbills love.<...,bird,bird_3,43,0.63238,10.0
4176,B0002BIO3W,YML Sky Playtop Bird Cage,"18x18"" Brand New Play Top Wrought Iron Cage For Parakeets, <br> Cockatials, Small Birds Or Small Parrot W...",bird,bird_6,4,0.9265666666666666,3.0
4185,B0002BIZN6,L'Avian Plus Cockatiel Food No Sunflower,L'Avian Plus Cockatiel Food No Sunflower offers a premium <br> nutritionally fortified (with added supple...,bird,bird_6,6,0.8414,3.0
4187,B0002BLLZ0,"YML 20-Inch Dometop Parrot Cage with Stand, Antique Silver",Color: Antique Copper Features: -Parrot cage.-Large swing out <br> door.-2 Feeder doors and 2 plastic cup...,bird,bird_2,50,0.5361522935779816,109.0
4233,B0002CKGZA,"Living World Prime Powder, 20-Gram",Living World Prime Powder Bird Supplement is the only bird food <br> supplement specifically formulated t...,bird,bird_1,2,0.7954749999999999,4.0
4234,B0002CKGY6,"Living World Premium Canary Mix, 2 Pounds",Living World Premium Canary Mix is a gourmet formula made with <br> the highest quality blend of specialt...,bird,bird_2,19,0.4560818181818181,11.0
4235,B0002CKGYQ,"Living World Premium Cockatiel Mix, 2 Pounds",Living World Premium Cockatiel Mix is a gourmet formula made <br> with the highest quality blend of speci...,bird,bird_2,45,0.3833,6.0
4237,B0002CKGZ0,"Living World Premium Large Parrot Mix, 1.7 Pounds",Living World Premium Large Parrot Mix is a gourmet formula made <br> with the highest quality blend of sp...,bird,bird_6,9,0.1937,2.0
4242,B0002CKGXW,"Living World Premium Parakeet/Budgie Mix, 2 Pounds",Living World Premium Mix is a gourmet formula made with the <br> highest quality blend of specialty seeds...,bird,bird_1,27,0.6166375,24.0
4243,B0002CKGZK,Living World Prime Powder,Living World Prime Powder Bird Supplement is the only bird food <br> supplement specifically formulated t...,bird,bird_3,24,0.5899728571428571,70.0
4244,B0002CKGYG,"Living World Premium Finch Mix, 2 Pounds",Living World Premium Finch Mix is a gourmet formula made with <br> the highest quality blend of specialty...,bird,bird_2,38,0.4441263157894737,19.0
4256,B0002DGI0G,Kaytee Fiesta Hamster Food,Kaytee Fiesta Hamster and Gerbil food is a nutritionally <br> fortified gourmet diet made of a premium bl...,rabbits and rodents,rabbits and rodents_5,25,0.5008076923076923,169.0
4257,B0002DGI2E,"Kaytee Fiesta Mouse And Rat Food, 2-Lb Bag",Kaytee Fiesta Mouse and Rat food is a nutritionally fortified <br> gourmet diet made of a premium blend o...,rabbits and rodents,rabbits and rodents_5,28,0.5481652892561983,121.0
4259,B0002DGIJM,Kaytee Parakeet Exact Original 14oz,exact Original Parakeet Kaytee Exact is a nutritious bird food <br> that provides all the nutrients prove...,bird,bird_2,6,0.91965,2.0
4265,B0002DGIL0,"MatrixCarbon, 4 L / 1 gal.",MatrixCarbon is a truly unique activated carbon. It is formed as <br> a spherical bead for optimum hydrod...,fish,fish_6,16,0.5680000000000001,6.0
4270,B0002DGJFK,"Kaytee Exact Rainbow Canary/Finch Food, 2-Pound",Kaytee Exact has been the recognized nutritional leader by avian <br> veterinarians and breeders since it...,bird,bird_2,40,0.2832962962962963,27.0
4272,B0002DGJDC,"Kaytee Exact Conversion For Parakeets And Cockatiels, 1-1/2-Pound","Kaytee exact Conversion improves the initial acceptance when <br> introducing an extruded food, and is th...",bird,bird_2,25,0.638,5.0
4276,B0002DGK7C,"Fritz Aquatics AFA80204 Fritzzyme 9-Saltwater Nitrifying Bacteria for Aquarium, 16-Ounce","Saltwater nitrifying bacteria which contains live, active. <br> Non-pathogenic, non-toxic nitrosococcus a...",fish,fish_2,47,0.5884666666666667,3.0
4278,B0002DGJ00,Cosmic Pet Mini Catnip Sock,American made felt cat toy with our great Cosmic Catnip,cat,cat_5,30,0.868,2.0
4283,B0002DGKFO,"Safe, 50 g / 1.7 oz",Safe is the complete and concentrated conditioner for both fresh <br> and salt water. Safe removes chlori...,fish,fish_5,47,0.3899818181818182,11.0
4288,B0002DGLOY,Seachem Reef Advantage Magnesium 600gram,"Reef Advantage Magnesium is a concentrated optimized blend of <br> magnesium, chloride, and sulfate salts...",rabbits and rodents,rabbits and rodents_5,30,0.31565,20.0
4293,B0002DGM3E,Pen Plax BA105 5-Step Wooden Ladder for Small Birds,Penn-Plax Bird Toys & Accessories are the perfect additions to <br> your bird's environment. These wooden...,bird,bird_3,22,0.7498,5.0
4298,B0002DGIGU,Kaytee Timothy Complete Diet For Rabbit,Kaytee timothy complete is a pelleted daily diet made with <br> nutritious sun-cured timothy hay combined...,rabbits and rodents,rabbits and rodents_5,15,0.5550793548387097,310.0
4308,B0002DGM7A,"Reef Carbonate, 2 L / 67.6 fl. oz.","Reef Carbonate is a concentrated (4,000 meq/L) optimized blend <br> of carbonate and bicarbonate salts de...",other,other_1,10,0.502975,4.0
4318,B0002DGNJC,Seachem Headstart Conditioning Pack (Box of 3 100ml),"Sachem head start conditioners pack combines Prime, stability, <br> and clarity into one convenient pack....",fish,fish_5,3,0.37484,5.0
4319,B0002DGN6K,Penn Plax (BA110) 7-Step Wooden Bird Ladder,Wooden Bird Ladder. This is a 7 step ladder that adds a classic <br> feel to your bird's cage. Includes m...,bird,bird_5,5,0.299085,20.0
4322,B0002DGIKQ,Seachem Matrix Carbon 2 Liters,Matrix carbon is a truly unique Activated carbon. It is formed <br> as a spherical bead for optimum hydro...,fish,fish_3,16,0.6990428571428572,14.0
4331,B0002DGLPI,Seachem Reef Advantage Magnesium 300gram,"Reef Advantage Magnesium is a concentrated optimized blend of <br> magnesium, chloride, and sulfate salts...",other,other_1,13,0.6002,3.0
4332,B0002DGL1W,"Flourish Iron, 2 L / 67.6 fl. oz.","Flourish Iron is a highly concentrated (10,000 mg/L) ferrous <br> iron (Fe+2) gluconate supplement. It sh...",rabbits and rodents,rabbits and rodents_1,10,0.5005499999999999,10.0
4340,B0002DGJ5A,Seachem Tanganyika Buffer 1 Kilo,Tanganyika Buffer is a blend of carbonate salts designed to <br> enhance the natural environment of Cichl...,fish,fish_2,19,0.4234769230769231,13.0
4360,B0002DGQ6M,Penn Plax 64559 Landing Perch with Mirror,This product is of pet supplies and is very easy to use. Adds a <br> great value. This product is Manufac...,bird,bird_1,13,0.6789599999999999,10.0
4361,B0002DGNQU,Kaytee 6 Count Corn on The Cob,"Kaytee Corn on the Cob is a favorite for attracting squirrels, <br> rabbits, chipmunks and other backyard...",bird,bird_4,41,0.3589283333333333,60.0
4367,B0002DGSTW,Gimborn Products SRD7555 24-Pack Small Animal Salt Wheel Counter Box,Gimborn salt wheel counter box provides an economical and <br> convenient source of necessary salt for ra...,rabbits and rodents,rabbits and rodents_3,47,0.7574000000000001,2.0
4371,B0002DGT78,Rio Mini 90 Internal Power Filter for Aquarium,Rio 90 internal filter kits come with dual filtering chambers <br> and come ready to run out of the box. ...,rabbits and rodents,rabbits and rodents_6,30,0.4727439999999999,25.0
4387,B0002DGU5Y,"Pink Parrot&reg; Hawaiian Delights&reg; 10&quot; Hanging Cookies, Blocks &amp; Wheels for Med/Lg ...",Edible bird toy that is tasty and uniquely entertaining. USA <br> cookies are produced in a human-grade b...,bird,bird_1,36,0.6780923076923077,13.0
4388,B0002DGOBY,Penn Plax 64556 Hanging Pacifier Bell,Features. Entertain your bird with this fun hanging pacifier <br> toy. Your bird can ring the bell and pr...,bird,bird_3,18,0.7159,6.0
4390,B0002DGUB8,Habitrail Mini Loft,The habitrail mini loft comes complete with 2 curves and 2 lock <br> connectors. The habitrail mini loft ...,rabbits and rodents,rabbits and rodents_1,35,0.5629230769230769,13.0
4394,B0002DGU8Q,HAEOR Kookie Krackers 40 Pack,Assorted sizes of the famous treats to delight and reward your <br> bird. Kookie Krackers come from a hum...,bird,bird_6,2,0.79414,5.0
4396,B0002DGRB6,"Tomlyn Products DTM06392 Pearls Au Lait Bath Moisturizer, 12-Ounce",This sterile eye wash with decongestant properties washes away <br> dried mucus secretions and discharge ...,dog,dog_4,9,0.8818428571428569,7.0
4398,B0002DGUMW,"Habitrail Mini Curve, with Lock Connector",The habitrail mini curve is another trail which allows you to <br> create different set-up for your hamst...,rabbits and rodents,rabbits and rodents_6,36,0.3738,2.0
4399,B0002DGUAE,Habitrail Mini Outpost,The habitrail mini outpost is a great addition to your pet's <br> home. It attaches directly to your pet'...,rabbits and rodents,rabbits and rodents_5,6,0.68695,2.0
4402,B0002DGUF4,"Habitrail Mini Cube, with 3 Windows and 1 Lock Connector",The habitrail mini cube has four different openings with viewing <br> windows allowing for endless set-up...,rabbits and rodents,rabbits and rodents_6,27,0.4223,6.0
4409,B0002DGUCC,Habitrail Mini Lock Connector,"The mini lock connector is a one of a kind, patented, connector <br> system that allows you to connect tr...",cat,cat_1,10,0.819725,4.0
4422,B0002DGXMO,Votoy Hamster Wood Chew Sticks 144 Count Jar,Chewy wood delights!,bird,bird_4,1,0.6789499999999999,4.0
4435,B0002DGY6O,Living World Sand Perch Covers for Cockatiels - 3 pack,The Living World Sanded Perch Refills are perfect for your birds <br> cage. They are a great accessory th...,bird,bird_6,46,0.3993285714285713,7.0
4437,B0002DGSWE,Rio RV2735 Rid-Volt Titanium Grounding Probe,Direct plug-in titanium grounding probe that eliminates excess <br> voltage in aquariums.,fish,fish_5,30,0.3177397590361447,83.0
4438,B0002DGWT8,Eheim Universal Aquarium Water Pump 317GPH,Eheim Universal Aquarium Water Pump The Eheim Universal Aquarium <br> Water Pump offers a great Pre-filte...,rabbits and rodents,rabbits and rodents_4,49,0.5770428571428571,7.0
4442,B0002DGLR6,"Reef Advantage Magnesium, 4 kg / 8.8 lbs","Reef Advantage Magnesium is a concentrated (80,000 ppm) <br> optimized blend of magnesium, chloride, and ...",other,other_3,1,0.5300374999999999,8.0
4446,B0002DGY5K,"Living World Sanded Perch Refill, 6-Pack",The Living World Sanded Perch Refills are perfect for the <br> birches in your birds cage. They are a gre...,bird,bird_3,49,0.4349054054054054,37.0
4451,B0002DGY8W,"Tropican Lifetime Formula Cockatiel Granules, 8-Pound","This tropican lifetime formula granules for cockatiels is a <br> scientifically formulated, completely ba...",bird,bird_2,17,0.70706,5.0
